problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
chebyqad,50,0.248664,0.00539,18.37290016,18.36751016,3407.701329,2500
chnrosnb,50,5.00E-05,0,49,49,-,30
emfl_eps,50,2.48E-05,46.4,161.2040707,114.8040707,2.474225662,30
emfl_vareps,51,0.000230351,46.4,1694.904278,1648.504278,35.52810945,2500
emfl,50,2.48E-05,46.4,161.198069,114.798069,2.474096314,30
errinros,50,4.11E-05,39.9,49,9.1,0.228070175,30
hilbertb,50,0,0,0,0,-,30
s293,50,0,0,0,0,-,30
s298,50,5.00E-05,0,49,49,-,30
s301,50,0.001274,-50,-1,49,0.98,2500
s304,50,0,0,0,0,-,30
tointqor,50,8.65E-05,1180,2335.2875,1155.2875,0.979057203,30
hadamals,90,0.453795556,25.3,868,842.7,33.3083004,2500
arglina,100,4.70E-05,100,194,94,0.94,30
s302,100,0.002524125,-100,-1.624999991,98.37500001,0.98375,2500
fletcbv2,100,3.10E-05,-0.514,-0.009803018,0.504196982,0.98092798,30
fletchcr,100,4.96E-05,0,9900,9900,-,30
harkerp2,100,0.002128134,-0.5,135739078.7,135739079.2,271478158.4,2500
penalty2,100,9.21E-06,97100,97097.29523,-2.704770888,2.79E-05,30
s299,100,5.00E-05,0,99,99,-,30
vardim,100,5.00E-05,0,6.50E+14,6.50E+14,-,30
s305,100,0,0,0,0,-,30
explin,120,0.027753772,-724000,-723116.4311,883.5689467,0.001220399,59
explin2,120,0.005540868,-724000,-724165.8666,-165.8666254,0.000229098,59
expquad,120,0.091049343,-3620000,1.14E+26,1.14E+26,3.15E+19,2500
qrtquad,120,0.033699856,-3650000,-3553297.53,96702.47031,0.026493827,929
qr3dbd,127,0.039386753,0.052,426.29,426.238,8196.884615,2500
qr3d,155,0.032272686,0.107,426.29,426.183,3983.018692,2500
qr3dls,155,0.032257504,0,426.29,426.29,-,2500
